Entries,Name,Quantity,SKU,HSN,BuyingPrice,SellingPrice,Category,Image,ReOrder Status
1,Cherry Decorative Showpiece,6,DO-04-001,3926,6099,6099,Decorative Objects,https://www.whisperinghomes.com/media/catalog/product/c/h/cherry_decorative_showpiece_1_.jpg,N/A
2,Modern Creative Father and Son Reading Decor Objects,6,DO-04-002,3926,6199,6199,Decorative Objects,https://www.whisperinghomes.com/media/catalog/product/m/o/modern_creative_father_and_son_reading_decor_objects_1_.jpg,N/A
3,Modern Animal Figurines Home Decor,6,DO-04-003,3926,6199,6199,Decorative Objects,https://www.whisperinghomes.com/media/catalog/product/m/o/modern_animal_figurines_home_decor_1_.jpg,N/A
4,Lvvish Marble Flower Vase With Oval Metal Mesh,4,DO-04-004,6802,7599,7599,Marble Vases,https://www.whisperinghomes.com/media/catalog/product/l/v/lvvish_marble_flower_vase_with_oval_metal_mesh_1_.jpg,N/A
5,Gold-plated Pomegranate Sculpture Modern Home Decor-Small,6,DO-04-005,6802,7699,7699,Decorative Objects,https://www.whisperinghomes.com/media/catalog/product/g/o/gold-plated_pomegranate_sculpture_modern_home_decor-small_3_.jpg,N/A
6,Gold-plated Pomegranate Sculpture Modern Home Decor- Large,6,DO-04-006,6802,9099,9099,Decorative Objects,https://www.whisperinghomes.com/media/catalog/product/g/o/gold-plated_pomegranate_sculpture_modern_home_decor-_large_1_.jpg,N/A
7,Black Marble & Gold Inlay Decorative Cube,5,DO-04-007,6802,2999,2999,Decorative Objects,https://www.whisperinghomes.com/media/catalog/product/b/l/black_marble_gold_inlay_decorative_cube_1_.jpg,N/A
8,Resin Dotted Round Balls Decorative Object - Large,6,DO-04-008,3926,2299,2299,Decorative Objects,https://www.whisperinghomes.com/media/catalog/product/r/e/resin_dotted_round_balls_decorative_object_-_large_1_.jpg,N/A
9,Resin Dotted Round Balls Decorative Object - Medium,6,DO-04-009,3926,1999,1999,Decorative Objects,https://www.whisperinghomes.com/media/catalog/product/d/o/dotted_round_balls_decorative_object_1_.jpg,N/A
10,Resin Dotted Round Balls Decorative Object - Small,6,DO-04-010,3926,1699,1699,Decorative Objects,https://www.whisperinghomes.com/media/catalog/product/r/o/round_balls_decorative_object_-_small_1_.jpg,N/A
11,Cubic Sculpture Black Desk Decor,6,DO-04-011,6802,5199,5199,Desk Decor,https://www.whisperinghomes.com/media/catalog/product/c/u/cubic_sculpture_black_desk_decor_1_.jpg,N/A
12,Water Droplet Black Marble Desk Decor,3,DO-04-012,6802,2999,2999,Desk Decor,https://www.whisperinghomes.com/media/catalog/product/w/a/water_droplet_black_marble_desk_decor_1_.jpg,N/A
13,Water Droplet White Marble Desk Decor,6,DO-04-013,6802,2999,2999,Desk Decor,https://www.whisperinghomes.com/media/catalog/product/w/a/water_droplet_white_marble_desk_decor_1_.jpg,N/A
14,Crystal Ball Sculpture Decorative Object,3,DO-04-014,7013,2599,2599,Decorative Objects,https://www.whisperinghomes.com/media/catalog/product/c/r/crystal_ball_sculpture_decorative_object_2_.jpg,N/A
15,Chain Link Acrylic Desk Decor,6,DO-04-015,7013,2599,2599,Desk Decor,https://www.whisperinghomes.com/media/catalog/product/c/h/chain_link_acrylic_desk_deco_1_.jpg,N/A
16,Grey Resin Trophy Head Decorative Vase,6,DO-04-016,3926,3699,3699,Decorative Objects,https://www.whisperinghomes.com/media/catalog/product/g/r/grey_resin_trophy_head_decorative_vase_1_.jpg,N/A
17,White Ball Polynesian Decorative Objects - Medium,3,DO-04-017,3926,2799,2799,Decorative Objects,https://www.whisperinghomes.com/media/catalog/product/w/h/white_ball_polynesian_decorative_objects_-_medium_1_.jpg,N/A
18,White Ball Polynesian Decorative Objects - Small,4,DO-04-018,3926,1999,1999,Decorative Objects,https://www.whisperinghomes.com/media/catalog/product/w/h/white_ball_polynesian_decorative_objects_-_small_1_.jpg,N/A
19,Deer Modern Art Desktop Sculptures Marble - Large,6,DO-04-019,6802,4099,4099,Decorative Objects,https://www.whisperinghomes.com/media/catalog/product/d/e/deer_modern_art_desktop_sculptures_marble_-_large_1_.jpg,N/A
20,Deer Modern Art Desktop Sculptures Marble - Medium,6,DO-04-020,6802,4099,4099,Decorative Objects,https://www.whisperinghomes.com/media/catalog/product/d/e/deer_modern_art_desktop_sculptures_marble_-_medium_1_.jpg,N/A
21,Deer Modern Art Desktop Sculptures Marble,6,DO-04-021,6802,2999,2999,Decorative Objects,https://www.whisperinghomes.com/media/catalog/product/d/e/deer_modern_art_desktop_sculptures_marble_1_.jpg,N/A
22,Geometric Metal Ornaments Desk Decor,6,DO-04-022,8306,2299,2299,Desk Decor,https://www.whisperinghomes.com/media/catalog/product/g/e/geometric_metal_ornaments_desk_decor_1_.jpg,N/A
23,Unique Marble & Metal Desk Decor,6,DO-04-023,6802,6599,6599,Desk Decor,https://www.whisperinghomes.com/media/catalog/product/u/n/unique_marble_metal_desk_d_cor_1_.jpg,N/A
24,Home Accent Coral Marble & Metal,6,DO-04-024,6802,4699,4699,Decorative Objects,https://www.whisperinghomes.com/media/catalog/product/h/o/home_accent_coral_marble_metal_1_.jpg,N/A
25,Luxor Ceramic Table Lamp,20,LA-TL-63-001,9405,10999,10999,Ceramic Table Lamps,https://www.whisperinghomes.com/media/catalog/product/m/o/modern_ink_painting_white_ceramic_table_lamp_with_beige_lamp-hover.jpg,N/A
26,Bowl Shape White Ceramic Table Lamp,20,LA-TL-63-002,9405,8999,8999,Ceramic Table Lamps,https://www.whisperinghomes.com/media/catalog/product/b/o/bowl_shape_white_ceramic_table_lamp_with_black_shade-hover.jpg,N/A
27,Wabi-sabi Style White Ceramic Table Lamp,20,LA-TL-63-003,9405,8999,8999,Ceramic Table Lamps,https://www.whisperinghomes.com/media/catalog/product/w/a/wabi-sabi_style_white_ceramic_table_lamp_with_grey_shade-hover.jpg,N/A
28,Coastal Ceramic Table Lamp,20,LA-TL-63-004,9405,11999,11999,Ceramic Table Lamps,https://www.whisperinghomes.com/media/catalog/product/i/l/illumina_minimilist_white_blue_ceramic_table_lamp_with_white_shade-hover.jpg,N/A
29,Nora White Ceramic Table Lamp,20,LA-TL-63-005,9405,10099,10099,Ceramic Table Lamps,https://www.whisperinghomes.com/media/catalog/product/s/t/starlight_turkish_style_white_ceramic_table_lamp_with_black_shade_-hover.jpg,N/A
30,Regency Ceramic Table Lamp,20,LA-TL-63-006,9405,10199,10199,Ceramic Table Lamps,https://www.whisperinghomes.com/media/catalog/product/l/u/luna_belle_turkish_style_white_ceramic_table_lamp_with_black_shade-main.jpg,N/A
31,Kristiana Ceramic Table Lamp,20,LA-TL-63-007,9405,10799,10799,Ceramic Table Lamps,https://www.whisperinghomes.com/media/catalog/product/a/l/allegro_ribbed_pattern_blue_ceramic_table_lamp_with_brown_shade-hover.jpg,N/A
32,Perugia Ceramic Table Lamp,20,LA-TL-63-008,9405,7499,7499,Ceramic Table Lamps,https://www.whisperinghomes.com/media/catalog/product/e/l/elysian_american_style_ribbed_white_ceramic_table_lamp_with_white_shade-hover.jpg,N/A
33,Bowie Ceramic Table Lamp - Cream,20,LA-TL-63-009,9405,8899,8899,Ceramic Table Lamps,https://www.whisperinghomes.com/media/catalog/product/s/o/solstice_glossy_curvy_white_ceramic_table_lamp-hover.jpg,N/A
34,Aqua Blue Ceramic Table Lamp,20,LA-TL-63-010,9405,8899,8899,Ceramic Table Lamps,https://www.whisperinghomes.com/media/catalog/product/g/l/glowlite_modern_sky_blue_ceramic_table_lamp_with_white_shade-hover.jpg,N/A
35,Marimo Black Ceramic Table Lamp,20,LA-TL-63-011,9405,9499,9499,Ceramic Table Lamps,https://www.whisperinghomes.com/media/catalog/product/c/h/charcoal_glow_black_ceramic_table_lamp_with_pleated_ivory_shade-hover.jpg,N/A
36,Shiny White Ceramic Table Lamp,20,LA-TL-63-012,9405,8899,8899,Ceramic Table Lamps,https://www.whisperinghomes.com/media/catalog/product/c/o/country_white_large_ceramic_table_lamp_with_white_shade-hover.jpg,N/A
37,Ceramic Table Lamp Bronze,20,LA-TL-63-013,9405,9199,9199,Ceramic Table Lamps,https://www.whisperinghomes.com/media/catalog/product/a/m/american_style_modern_bronze_ceramic_table_lamp_with_brown_shade_3_.jpg,N/A
38,Retro Vintage Flower & Bird Ceramic Table Lamp,20,LA-TL-63-014,9405,7099,7099,Ceramic Table Lamps,https://www.whisperinghomes.com/media/catalog/product/e/u/european_style_flower_and_bird_ceramic_table_lamp_with_beige_shade-hover.jpg,N/A
39,Tranquil Aura Ceramic Table Lamp,20,LA-TL-63-015,9405,5899,5899,Ceramic Table Lamps,https://www.whisperinghomes.com/media/catalog/product/a/m/american_style_tranquil_aura_table_lamp_with_pleated_green_shade-hover.jpg,N/A
40,Jacin Ceramic Table Lamp,20,LA-TL-63-016,9405,9899,9899,Ceramic Table Lamps,https://www.whisperinghomes.com/media/catalog/product/r/e/retro_stylesparkling_diamond_matte_white_ceramic_table_lamp-hover.jpg,N/A
41,Bowl Shape White Ceramic Table Lamp,20,LA-TL-63-017,9405,8899,8899,Ceramic Table Lamps,https://www.whisperinghomes.com/media/catalog/product/b/o/bowl_shape_white_ceramic_table_lamp_with_black_shade-hover_1.jpg,N/A
42,Wabi-sabi Style White Ceramic Table Lamp,20,LA-TL-63-018,9405,8999,8999,Ceramic Table Lamps,https://www.whisperinghomes.com/media/catalog/product/w/a/wabi-sabi_style_white_ceramic_table_lamp_with_black_shade-hover.jpg,N/A
43,Penelope Ceramic Table Lamp,20,LA-TL-63-019,9405,9699,9699,Ceramic Table Lamps,https://www.whisperinghomes.com/media/catalog/product/p/e/penelope_ceramic_table_lamp_with_white_shade-hover.jpg,N/A
44,Lunar Crystal Wall Light,20,LA-WL-04-001,9405,3699,3699,Wall Lights,https://www.whisperinghomes.com/media/catalog/product/l/u/lunar_crystal_wall_light_1_.jpg,N/A
45,Half Moon Ring Wall Light,20,LA-WL-04-002,9405,3699,3699,Wall Lights,https://www.whisperinghomes.com/media/catalog/product/h/a/half_moon_ring_wall_light_2_.jpg,N/A
46,Nordic Oval Wall Light,20,LA-WL-04-003,9405,3699,3699,Wall Lights,https://www.whisperinghomes.com/media/catalog/product/n/o/nordic_oval_wall_light_2_.jpg,N/A
47,Elite Gold Wall Light,20,LA-WL-04-004,9405,4399,4399,Wall Lights,https://www.whisperinghomes.com/media/catalog/product/e/l/elite_gold_wall_light_2_.jpg,N/A
48,Crystal Gold Wall Light,20,LA-WL-04-005,9405,4399,4399,Wall Lights,https://www.whisperinghomes.com/media/catalog/product/c/r/crystal_gold_wall_light_5_.jpg,N/A
49,Minimalist Round Ball Metal Wall Light,60,LA-WL-04-006,9405,3899,3899,Wall Lights,https://www.whisperinghomes.com/media/catalog/product/m/i/minimalist_round_ball_metal_wall_light_1_.jpg,N/A
50,Royal Round Gold Metal Wall Light,40,LA-WL-04-007,9405,3799,3799,Wall Lights,https://www.whisperinghomes.com/media/catalog/product/r/o/royal_round_gold_metal_wall_light_2_.jpg,N/A
51,Industrial Retro Pendant Light Glass Shade,10,LA-HL-07-089,9405,4999,4999,Pendant Lights,https://www.whisperinghomes.com/media/catalog/product/i/n/industrial_retro_pendant_light_glass_shade_2_.jpg,N/A
52,Modern Ribbed Glass Dome Shape Pendant Light,20,LA-HL-07-056,9405,4499,4499,Pendant Lights,https://www.whisperinghomes.com/media/catalog/product/d/o/dome_shape_pendant_light_2_.jpg,N/A
53,Glam Oval Shape Gold Glass Pendant Light,20,LA-HL-07-060,9405,3799,3799,Pendant Lights,https://www.whisperinghomes.com/media/catalog/product/g/l/glam_oval_shape_gold_glass_pendant_light-4.jpg,N/A
54,Modern Black & Gold Long Style Pendant Light,20,LA-HL-07-083,9405,5299,5299,Pendant Lights,https://www.whisperinghomes.com/media/catalog/product/m/o/modern_black_gold_pendant_light_2_.jpg,N/A
55,Rosenthal Triu Vase Smokey Grey,4,VA-04-053,7018,9499,9499,Glass Vases,https://www.whisperinghomes.com/media/catalog/product/r/o/rosenthal_triu_vase_smokey_grey_1_.jpg,N/A
56,Unique Squeez Spheres Marble Vase,6,VA-04-054,6815,3399,3399,Marble Vases,https://www.whisperinghomes.com/media/catalog/product/u/n/unique_squeez_spheres_marble_vase_1_.jpg,N/A
57,Long Marble & Metal Flower Vase,6,VA-04-055,6815,2999,2999,Marble Vases,https://www.whisperinghomes.com/media/catalog/product/l/o/long_marble_metal_flower_vase_1_.jpg,N/A
58,Roman Column Shape White & Blue Vase,6,VA-04-056,3926,4299,4299,Resin Vases,https://www.whisperinghomes.com/media/catalog/product/m/a/main_5.jpg,N/A
59,Sticks Gold Flower Vase,3,VA-04-057,8306,3299,3299,Metal Vases,https://www.whisperinghomes.com/media/catalog/product/s/t/sticks_gold_flower_vase_1_.jpg,N/A
60,Silver Metal Flower Vase,6,VA-04-058,8306,3299,3299,Metal Vases,https://www.whisperinghomes.com/media/catalog/product/s/i/silver_metal_flower_vase_1_.jpg,N/A
61,Rosenthal Five Contour Decorative Vase,3,VA-04-059,8306,3799,3799,Metal Vases,https://www.whisperinghomes.com/media/catalog/product/r/o/rosenthal_five_contour_decorative_vase_1_.jpg,N/A
62,Crystalmood Pillar Amber Vase,3,VA-04-060,7018,5499,5499,Glass Vases,https://www.whisperinghomes.com/media/catalog/product/_/c/_crystalmood_pillar_amber_vase_1_.jpg,N/A
63,Brushed Barrel Silver Flower Vase,2,VA-04-061,8306,4399,4399,Metal Vases,https://www.whisperinghomes.com/media/catalog/product/b/r/brushed_barrel_silver_flower_vase_1_.jpg,N/A
64,Black Contemporary Style Glass Oval Vase,10,VA-04-062,7326,2199,2199,Glass Vases,https://www.whisperinghomes.com/media/catalog/product/b/r/brushed_barrel_silver_flower_vase_1__1.jpg,N/A
65,Nozzle Shape Gradations Blue And White Vase,3,VA-04-063,7326,2699,2699,Glass Vases,https://www.whisperinghomes.com/media/catalog/product/n/o/nozzle_shape_gradations_blue_and_white_vase_1_.jpg,N/A
66,Armo Ceramic Vase Orange,16,VA-02-050-00,6913,1399,1399,Ceramic Vases,https://www.whisperinghomes.com/media/catalog/product/a/r/armo_ceramic_vase_orange_1_.jpg,N/A
67,Dune Ceramic Vase White,24,VA-02-051-00,6913,1299,1299,Ceramic Vases,https://www.whisperinghomes.com/media/catalog/product/_/d/_dune_ceramic_vase_1_.jpg,N/A
68,Cleo Ceramic Vase White,16,VA-02-052-00,6913,1299,1299,Ceramic Vases,https://www.whisperinghomes.com/media/catalog/product/_/c/_cleo_ceramic_vase_1_.jpg,N/A
69,Piura Ceramic Vase Black,16,VA-02-053-00,6913,1399,1399,Ceramic Vases,https://www.whisperinghomes.com/media/catalog/product/p/i/piura_ceramic_black_vase_1_.jpg,N/A
70,Rigel Ceramic Vase Green Large,16,VA-02-054-00-L,6913,1499,1499,Ceramic Vases,https://www.whisperinghomes.com/media/catalog/product/r/i/rigel_ceramic_vase_-_blue-1_1.jpg,N/A
71,Rigel Ceramic Vase Small - White,26,VA-02-055-00-S,6913,1299,1299,Ceramic Vases,https://www.whisperinghomes.com/media/catalog/product/r/i/rigel_ceramic_vase_-_white-1_1.jpg,N/A
72,Black Retro Candle Holder Set of 2,24,CO-02-001,6913,1699,1699,Candle Holders,https://www.whisperinghomes.com/media/catalog/product/b/l/black_retro_candle_holder_set_of_2_2_.jpg,N/A
73,Majestic Pattern Yellow Decorative Jar - Small,10,JA-05-43-00-S,6913,4099,4099,Temple & Ginger Jars,https://www.whisperinghomes.com/media/catalog/product/m/a/majestic_pattern_yellow_decorative_jar_1_.jpg,N/A
74,Majestic Pattern Yellow Decorative Jar - Large,10,JA-05-44-00-L,6913,4699,4699,Temple & Ginger Jars,https://www.whisperinghomes.com/media/catalog/product/m/a/majestic_pattern_yellow_decorative_jar_-_large_1_.jpg,N/A
75,Black Luxe Ceramic Jar - Small,10,JA-05-45-00-S,6913,4099,4099,Temple & Ginger Jars,https://www.whisperinghomes.com/media/catalog/product/b/l/black_luxe_jar_1_.jpg,N/A
76,Black Luxe Ceramic Jar - Large,10,JA-05-46-00-L,6913,4699,4699,Temple & Ginger Jars,https://www.whisperinghomes.com/media/catalog/product/b/l/black_luxe_ceramic_jar_large_1_.jpg,N/A
77,Calix Blue & White Ceramic Jar - Small,10,JA-05-47-00-S,6913,3999,3999,Temple & Ginger Jars,https://www.whisperinghomes.com/media/catalog/product/c/a/calix_blue_white_ceramic_jar_1_.jpg,N/A
78,Calix Blue And White Ceramic Jar - Large,10,JA-05-48-00-L,6913,4599,4599,Temple & Ginger Jars,https://www.whisperinghomes.com/media/catalog/product/b/l/blue_and_white_ceramic_jar_large_1_.jpg,N/A
79,Cobalt Luxe Black Ceramic Jar - Small,10,JA-05-49-00-S,6913,4099,4099,Temple & Ginger Jars,https://www.whisperinghomes.com/media/catalog/product/c/o/cobalt_luxe_black_ceramic_jar_-_medium_1_.jpg,N/A
80,Cobalt Luxe Black Ceramic Jar - Large,10,JA-05-50-00-L,6913,4699,4699,Temple & Ginger Jars,https://www.whisperinghomes.com/media/catalog/product/l/u/luxe_black_ceramic_jar_-_large_1_.jpg,N/A
81,Vintage Oriental White Ceramic Jar - Small,10,JA-05-51-00-S,6913,4099,4099,Temple & Ginger Jars,https://www.whisperinghomes.com/media/catalog/product/v/i/vintage_oriental_white_ceramic_jar_-_small_1_.jpg,N/A
82,Vintage Oriental White Ceramic Jar - Large,10,JA-05-52-00-L,6913,4699,4699,Temple & Ginger Jars,https://www.whisperinghomes.com/media/catalog/product/o/r/oriental_white_ceramic_jar_1_.jpg,N/A
83,Scandinavian Ceramic Jar,10,JA-05-53-00,6913,4099,4099,Temple & Ginger Jars,https://www.whisperinghomes.com/media/catalog/product/s/c/scandinavian_ceramic_jar_1_.jpg,N/A
84,Vintage Scandinavian Ceramic Jar,10,JA-05-54-00,6913,3099,3099,Temple & Ginger Jars,https://www.whisperinghomes.com/media/catalog/product/v/i/vintage_scandinavian_ceramic_jar_1_.jpg,N/A
85,Selva Large Botanic Jar - Small,10,JA-05-55-00-S,6913,3599,3599,Temple & Ginger Jars,https://www.whisperinghomes.com/media/catalog/product/s/e/selva_large_botanic_jar_-_small_1_.jpg,N/A
86,Selva Large Botanic Jar - Large,10,JA-05-56-00-L,6913,4499,4499,Temple & Ginger Jars,https://www.whisperinghomes.com/media/catalog/product/l/a/large_botanic_jar_1_.jpg,N/A